,opt6,FPS,FPS,
,opt7,Screen Size,Режим экрана,
,opt8,Quality,Качество,
,opt8b,Resolution,Разрешение, WARNING: AUTO-TRANSLATION #####################################################
,opt9,Language,Язык,
,opt10,Return to Menu,Вернутся в меню,
,opt11,Delete on Game Over,Удалить по Окончанию Игры, WARNING: AUTO-TRANSLATION #####################################################
,opt12,No save games,Нет сохраненных игр, WARNING: AUTO-TRANSLATION #####################################################
,optQQ,Group ID /x copied!,ID группы /x скопирован!, WARNING: AUTO-TRANSLATION #####################################################
,clickMe,Click me!,Кликни здесь!,
,sellHere,Drag to me to Sell,"Перетащите ко мне, чтобы продать",
,removeHere,I can remove a carving - for a price,Я могу убрать эту Резьбу - за небольшую цену, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,cantSell,I don't buy those!,Я такое не покупаю!, WARNING: AUTO-TRANSLATION #####################################################
,noMoreSale,I won't take more items!,Я больше не возьму!, WARNING: ENGLISH TEXT CHANGED #####################################################
,on,on,Вкл.,
,off,off,Выкл.,
,windowed,windowed,В окне,
,full screen,full screen,Полноэкранный,
,borderless,borderless,Без рамок,
,unlimited,unlimited,Неограниченно,
,low,low,Низкое,
,medium,medium,Среднее,
,high,high,Высокое,
Item Atlas,ia1,Can only be found by:,Может быть найден только:, WARNING: AUTO-TRANSLATION #####################################################
,ia2,Can only be found in:,Можно найти только в:, WARNING: AUTO-TRANSLATION #####################################################
context menu,cm1,View card,Посмотреть Информацию , WARNING: AUTO-TRANSLATION #####################################################
,cm2,Use item,Использовать предмет, WARNING: AUTO-TRANSLATION #####################################################
,cm3,Use Item Max Times,Использовать предмет на всю энергию, WARNING: AUTO-TRANSLATION #####################################################
,cm4,Reroll Items,Обновить предметы, WARNING: AUTO-TRANSLATION #####################################################
,cm5,Discover passage,Раскрыть проход, WARNING: AUTO-TRANSLATION #####################################################
,cm6,Summon enemies,Призвать врагов, WARNING: AUTO-TRANSLATION #####################################################
,cm7,Add reward,Добавить награду, WARNING: AUTO-TRANSLATION #####################################################
,cm8,Duplicate potion,Дублировать зелье, WARNING: AUTO-TRANSLATION #####################################################
,cm9,Combine potions,Скомбинировать зелья, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,cm10,Flip switch,Переключить рычаг, WARNING: AUTO-TRANSLATION #####################################################
,cm11,Return carving,Вернуть Резьбу, WARNING: AUTO-TRANSLATION #####################################################
,cm12,Remove carving,Убрать Резьбу, WARNING: AUTO-TRANSLATION #####################################################
gameManagerMessages,gmreo,Reorganize now to claim this item!,"Отсортируй, чтобы получить эту вещь!",
,gm1,Finished!,Сделанно!,
,gm2,Must be in an empty room!,Нужно быть в пустой комнате!,
,gm3,Cannot save right now!,Нельзя сейчас сохранить!,
,gm4,Complete tutorial to save!,"Закончи обучение, чтобы сохранить!",
,gm5,Cannnot save while moving!,Нельзя сохранить во время движения!,
,gm6,Finale,Финал,
,gm7,Part /x of /y,Часть /x из /y,
,gm8,Finished Choosing,Закончить выбор,
,gm9,Can't take more items,Больше вещей не взять,
,gm10,Take /x items,Возьми /x вещей,
,gm11,Take 1 item,Возьми 1 вещь,
,gmb,Battle Start!,Начало сражения!,
,gmpt,Player Turn!,Твой ход!,
,gmet,Enemy Turn!,Ход врага!,
,gm12,You win!,Победа!,
,gm13,Level Up!,Усиление!,
,gm14,Get items!,Забери награду!,
,gm14b,End Battle!,Конец битвы!, WARNING: AUTO-TRANSLATION #####################################################
,gm15,Not enough energy,Не хватает энергии,
,gm16,Any items left outside the backpack will be lost,Любые вещи оставленные вне рюкзака будут потеряны,
,gm17,Finished Reorganizing,Закончить сортировку,
,gm18,Save Failed!,Не удалось сохранить!,
,gm19,You have been cursed!,Вы были прокляты!,
,gm20,Skip curse. Take /x damage,Избежать проклятия. Получить /x урона,
,gm21,Choose an item,Выберите предмет,
,gm22,Never Mind,Не важно,
,gm23,You must place all curses!,Вы должны уместить все проклятия!,
,gm24,Cannot be combined with selected item,Невозможно объединить с этим предметом,
,gm25,Cannot be used!,Не может быть использован!,
,gm26,Not enough connected Mana,Недостаточно присоединенной Маны,
,gm27,Not enough Gold,Недостаточно золота,
,gm28,No more uses this combat,Кончились заряды на этот бой,
,gm29,No more uses this turn,Кончились заряды на этот ход,
,gm30,No more uses,Кончились заряды,
,gm31,This item is disabled,Эта вещь недоступна,
,gm32,Anchored,Зафиксировано,
,gm33,Cannot move a curse,Нельзя передвигать проклятие,
,gm34,Cannot move here,Нельзя передвинуть сюда,
,gm35,Cannot afford,Нужно больше золота,
,gm36,Cannot place here,Нельзя поместить сюда,
,gm37,Finish Battle to Continue,"Завершите сражение, чтобы продолжить",
,gm38,Can't move here!,Нельзя подвинуться сюда,
,gm39,Pathway blocked!,Проход перекрыт,
,gm40,Game Loaded,Сохранение загружено,
,gm41,Game Saved,Сохранено,
,gmillusory,Illusory spaces can only hold carvings,Иллюзорные ячейки могут содержать только Резьбу, WARNING: AUTO-TRANSLATION #####################################################
,retry,retry,Попробовать снова,
,gm42,Choose /x spaces,Выбери /x ячеек, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm43,Carvings cannot be played while reorganizing,Резьба не может быть сыгранна во время сортировки, WARNING: AUTO-TRANSLATION #####################################################
,gm44,You cannot leave this item behind: ,Вы не можете оставить этот предмет:, WARNING: AUTO-TRANSLATION #####################################################
,gm45,Item has an invalid placement,Предмет имеет неправильное расположение, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm46,Enter text. . .,Введите текст. . ., WARNING: AUTO-TRANSLATION #####################################################
,gm47,More Game Modes,Дополнительные игровые режимы, WARNING: AUTO-TRANSLATION #####################################################
,gmCR81,You cannot leave your core behind,Вы не можете оставить свое ядро, WARNING: AUTO-TRANSLATION #####################################################
,gmSatchel1,Items must be placed on a rune space!,Вещи должны быть размещены на рунные ячейки,
,gmSatchel2,You can't move items once they're crammed in!,Вещи не могут быть перемещены после установки,
,gmSatchel3,There's no space to cram it in!,Недостаточно места для установки!,
Tote,gmTote1,Carvings must be placed in your Backpack,Резьба должна быть размещена в рюкзак., WARNING: AUTO-TRANSLATION #####################################################
,gmTote2,Carvings in hand,Резьба в руке, WARNING: AUTO-TRANSLATION #####################################################
,gmTote3,Discarded Carvings,Сброшенная Резьба, WARNING: AUTO-TRANSLATION #####################################################
,gmTote4,Banished Carvings,Изгнанная Резьба , WARNING: AUTO-TRANSLATION #####################################################
Run Types,rt1,standard,Стандартный, WARNING: AUTO-TRANSLATION #####################################################
,rt1d,A basic run with no special settings!,Базовый забег без особых настроек!, WARNING: AUTO-TRANSLATION #####################################################
,rt2,No experience,Без опыта, WARNING: AUTO-TRANSLATION #####################################################
,rt3,Bombs Away,Бомбы Убранны, WARNING: AUTO-TRANSLATION #####################################################
,rt4,Easy Mode,Легкий Режим, WARNING: AUTO-TRANSLATION #####################################################
,rt5,Hard Mode,Высокая Сложность, WARNING: AUTO-TRANSLATION #####################################################
,rt5b,Hard Mode 2,Очень Высокая Сложность, WARNING: AUTO-TRANSLATION #####################################################
,rt5c,Hard Mode 3,Невероятно Высокая Сложность, WARNING: AUTO-TRANSLATION #####################################################
,rt5dd,Hard Mode 4,Даже не думай Высокая Сложность, WARNING: AUTO-TRANSLATION #####################################################
,rt5v5,Hard Mode 5,Непроходимая Высокая Сложность, WARNING: AUTO-TRANSLATION #####################################################
,rt5e,Unfair Mode,Нечестный режим, WARNING: AUTO-TRANSLATION #####################################################
,rt5f,Hard Puzzle Mode,Сложный режим Головоломок, WARNING: AUTO-TRANSLATION #####################################################
,rt6,Pauper Mode,Режим Бедняка, WARNING: AUTO-TRANSLATION #####################################################
,rt7,Glass Cannon,Стеклянная Пушка, WARNING: AUTO-TRANSLATION #####################################################
,rt8,5 by 5 challenge,Рюкзак 5 на 5, WARNING: AUTO-TRANSLATION #####################################################
,rt8b,5 by 7 challenge,Рюкзак  5 на 7, WARNING: AUTO-TRANSLATION #####################################################
,rt9,Another way,Другой путь, WARNING: AUTO-TRANSLATION #####################################################
,rt10,Big Mode,Игра по Крупному, WARNING: AUTO-TRANSLATION #####################################################
,rt11,Classic Matthew,Классический Мэтью, WARNING: AUTO-TRANSLATION #####################################################
,rt12,Endless Dream,Бесконечный сон, WARNING: AUTO-TRANSLATION #####################################################
,rt13,Great Pair,Отличная пара, WARNING: AUTO-TRANSLATION #####################################################
,rt14,Horrible Curse,Ужасное проклятие, WARNING: AUTO-TRANSLATION #####################################################
,rt15,Horrible Luck,Ужасная удача, WARNING: AUTO-TRANSLATION #####################################################
,rt16,Lethal,Летальный, WARNING: AUTO-TRANSLATION #####################################################
,rt17,Penny Pincher,Скряга, WARNING: AUTO-TRANSLATION #####################################################
,rt18,Puzzle Mode,Режим головоломки, WARNING: AUTO-TRANSLATION #####################################################
,rt19,Quick and Easy,Быстро и просто, WARNING: AUTO-TRANSLATION #####################################################
,rt20,Scaling Energy,Ростущая энергия, WARNING: AUTO-TRANSLATION #####################################################
,rt21,Small Paws,Маленькие лапки, WARNING: AUTO-TRANSLATION #####################################################
,rt22,Standard Energy,Стандартная энергия, WARNING: AUTO-TRANSLATION #####################################################
,rt23,Strong Start,Сильный старт, WARNING: AUTO-TRANSLATION #####################################################
,rt24,Trash Blaster,Оптимизатор Мусора, WARNING: AUTO-TRANSLATION #####################################################
,rt25,Wrecked Relics,Разрушенные реликвии, WARNING: AUTO-TRANSLATION #####################################################
,rt26,Boss Rush,Босс Раш, WARNING: AUTO-TRANSLATION #####################################################
,rt27,Ever changing,Постоянно меняющийся, WARNING: AUTO-TRANSLATION #####################################################
,rt28,Adaptive,Адаптивный, WARNING: AUTO-TRANSLATION #####################################################
,Run modifier,Run modifier,Модификатор Забега, WARNING: AUTO-TRANSLATION #####################################################
Run Type Text,rte1,Has been completed!,Завершено!, WARNING: AUTO-TRANSLATION #####################################################
,rte2b,This run was unlocked by completing:,Этот забег был разблокирован после выполнения:, WARNING: AUTO-TRANSLATION #####################################################
,rte2,This run is locked until you complete:,"Этот забег заблокирован, пока вы не выполните:", WARNING: AUTO-TRANSLATION #####################################################
,rte3,Locked!,Заблокировано!, WARNING: AUTO-TRANSLATION #####################################################
Run Type Descriptors,rtd1,You cannot earn experience,Вы не можете зарабатывать опыт, WARNING: AUTO-TRANSLATION #####################################################
,rtd2,You start with these items. You must keep them the entire run:,Вы начинаете с этими предметами. Вы должны сохранить их на протяжении всего забега:, WARNING: AUTO-TRANSLATION #####################################################
,rtd3,You can take /x items after each standard battle,Вы можете взять /x предметов после каждого стандартного боя, WARNING: AUTO-TRANSLATION #####################################################
,rtd4,/x to max health,/x к максимальному здоровью, WARNING: AUTO-TRANSLATION #####################################################
,rtd5,/x% each time you earn xp,"/x% каждый раз, когда вы зарабатываете опыт", WARNING: AUTO-TRANSLATION #####################################################
,rtd6,/x% each time you earn gold,"/x% каждый раз, когда вы зарабатываете золото", WARNING: AUTO-TRANSLATION #####################################################
,rtd7,/x% to enemy health,/x% к здоровью врага, WARNING: AUTO-TRANSLATION #####################################################
,rtd8,Backpack limited to /x spaces wide,Рюкзак ограничен шириной /x ячеек в ширину, WARNING: AUTO-TRANSLATION #####################################################
,rtd9,You can only find common and uncommon items,Вы можете найти только обычные и необычные предметы, WARNING: AUTO-TRANSLATION #####################################################
,rtd10,You start with these items:,Вы начинаете с этими предметами:, WARNING: AUTO-TRANSLATION #####################################################
,rtd11,You cannot find these items:,Вы не можете найти эти предметы:, WARNING: AUTO-TRANSLATION #####################################################
,rtd12,Standard chests contain /x items,Стандартные сундуки содержат /x предметов, WARNING: AUTO-TRANSLATION #####################################################
,rtd13,Enemy attacks get /x% damage,Атаки противника получают /x% урона, WARNING: AUTO-TRANSLATION #####################################################
,rtd14,You cannot find items of this type:,Вы не можете найти предметы этого типа:, WARNING: AUTO-TRANSLATION #####################################################
,rtd15,All weapons receive /x% bonus damage,Все оружие получает /x% дополнительного урона, WARNING: AUTO-TRANSLATION #####################################################
,rtd16,/x% to luck,/x% к удаче, WARNING: AUTO-TRANSLATION #####################################################
,rtd17,All status effects deal damage and disappear each turn,Все статусные эффекты наносят урон и исчезают каждый ход., WARNING: AUTO-TRANSLATION #####################################################
,rtd18,Start the game from Matthew,Начать игру от Мэтью, WARNING: AUTO-TRANSLATION #####################################################
,rtd19,Your max health is /x,Ваше максимальное здоровье равно /x, WARNING: AUTO-TRANSLATION #####################################################
,rtd20,Instead of standard items - find a chest after each combat,Вместо стандартных предметов - вы находите сундук после каждого боя, WARNING: AUTO-TRANSLATION #####################################################
,rtd21,Instead of standard items - find a store after each combat,Вместо стандартных предметов - вы находите магазин после каждого боя, WARNING: AUTO-TRANSLATION #####################################################
,rtd22,You can only find /x space items,Вы можете найти только предметы размером /x ячеек, WARNING: AUTO-TRANSLATION #####################################################
,rtd23,You can only find items that are /x spaces or larger,Вы можете найти только предметы размером /x ячеек или более, WARNING: AUTO-TRANSLATION #####################################################
,rtd24,Your energy starts at /x and increases each turn,Ваша энергия равна /x и увеличивается с каждым ходом., WARNING: AUTO-TRANSLATION #####################################################
,rtd25,You get /x energy each turn,Вы получаете /x энергии каждый ход, WARNING: AUTO-TRANSLATION #####################################################
,rtd26,You cannot find relics,Вы не можете найти реликвии, WARNING: AUTO-TRANSLATION #####################################################
,rtd27,There is only one floor before each boss,Перед каждым боссом только один этаж, WARNING: AUTO-TRANSLATION #####################################################
,rtd28,Enemies will never poison the player,Враги никогда не отравят игрока, WARNING: AUTO-TRANSLATION #####################################################
,rtd29,Don't start with standard items,Вы не начинаете со стандартными предметами, WARNING: AUTO-TRANSLATION #####################################################
,rtd30,Items must be placed adjacent to an item of the same type or rarity. This excludes your starting items:,Предметы должны располагаться рядом с предметами того же типа или редкости. Исключение - ваши стартовые предметы:, WARNING: AUTO-TRANSLATION #####################################################
,rtd31,Enemies will never curse the player,Враги никогда не будут проклинать игрока, WARNING: AUTO-TRANSLATION #####################################################
,rtd32,Backpack starts at /x spaces wide,Вы начинаете с Рюкзаком /x ячеек в ширину, WARNING: AUTO-TRANSLATION #####################################################
,rtd33,Go directly to each Boss,Переход от босса к боссу, WARNING: AUTO-TRANSLATION #####################################################
,rtd34,Start in a room with:,Начните в комнате с:, WARNING: AUTO-TRANSLATION #####################################################
,rtd35,All items are replaced after each battle,Все предметы заменяются после каждого боя, WARNING: AUTO-TRANSLATION #####################################################
minigames,mini1,Spin /x gold,Вращать /x золота,
,mini2,Spin - free,Вращай - бесплатно,
,mini3,Can't leave yet,Ты еще не можешь уйти,
,mini4,Finish your guess to leave,"Закончи угадывать, чтобы уйти",
,mini5,No more guesses!,Нет попыток!,
,mini6,Matching,Совпадение,
,mini7,You have /x guesses remaining,Осталось /x попыток,
tutorials,tut1,In combat you click items to use them. You must defeat all enemies to continue.,"Нажимай на предметы во время боя, что бы их использовать. Надо победить всех противников, что бы продолжить.",
,tut2,"Add all items to your backpack to continue! While holding an item, you can press right mouse or arrow keys to rotate it!","Добавь все предметы в свой рюкзак чтобы продолжить! Когда держишь предмет, можно его поворачивать с помощью правой кнопки мыши или стрелками на клавиатуре.",
,tutCR81,Put items in the path of your core. Use your core to activate them,"Поместите предметы на пути вашего ядра. Используйте свое ядро, чтобы активировать их", WARNING: AUTO-TRANSLATION #####################################################
,tutCR82,"If multiple items are in the path, they will all be used","Если на пути несколько предметов, все они будут использованы.", WARNING: AUTO-TRANSLATION #####################################################
,tutCR83,"If an item occupies multiple spaces, it can be used multiple times","Если предмет занимает несколько мест, его можно использовать несколько раз.", WARNING: AUTO-TRANSLATION #####################################################
,tutCR84,You can redirect the path of your charge,Вы можете перенаправить путь вашего заряда, WARNING: AUTO-TRANSLATION #####################################################
,tutCR85,"If you don't have enough energy to use an item, the charge is lost. Use a splitter to divide a charge. The energy is rounded up!","Если у вас недостаточно энергии для использования предмета, заряд теряется. Используйте разветвитель для разделения заряда. Энергия округляется в большую сторону!", WARNING: AUTO-TRANSLATION #####################################################
,tutCR86,Use multiple different charges to hit the same item several times,"Используйте несколько разных зарядов, чтобы активировать один и тот же предмет несколько раз.", WARNING: AUTO-TRANSLATION #####################################################
,tutCR87,"Once a charge has 0 energy, it is destroyed. Use any 0 energy items first","Как только заряд имеет 0 энергии, он исчезает. Сначала используйте любые предметы с 0 стоимостью.", WARNING: AUTO-TRANSLATION #####################################################
,tutCR88,Some items create charges on their own!,Некоторые предметы создают заряды сами по себе!, WARNING: AUTO-TRANSLATION #####################################################
,tutTote1,Each turn Tote draws 3 carvings. Drag them to your bag to summon them.,"Каждый ход Тоте рисует 3 Резьбы. Перетащите их в сумку, чтобы призвать их.", WARNING: AUTO-TRANSLATION #####################################################
,tutTote2,Some carvings can be used after they are summoned.,Некоторую Резьбу можно использовать после их призыва., WARNING: AUTO-TRANSLATION #####################################################
,tutTote3,Some carvings have a cost to summon - shown at the bottom of the card.,"У некоторой Резьбы есть стоимость вызова, указанная внизу информации.", WARNING: AUTO-TRANSLATION #####################################################
,tutTote4,Discarded carvings can be drawn again. Banished carvings are removed for the rest of combat,Выброшенную Резьбу можно нарисовать снова. Изгнанная Резьба удаляется до конца боя., WARNING: AUTO-TRANSLATION #####################################################
,tutTote5,Move carvings to your deck to collect them. Removing them later will cost money!,"Переместите Резьбу в свою колоду, чтобы взять ее. Удаление их позже будет стоить денег!", WARNING: AUTO-TRANSLATION #####################################################
,,,,
,,,,
,,,,
enemyCards,enemyXP,You will get /x experience for defeating this enemy,"Ты получишь /x опыта, победив этого противника",
,enemyC,"Cowardly! Will flee if only cowardly enemies remain""","Трусливый! Убежит, если только трусливые противники остались на поле боя.",
,enemyB,This enemy is a defender! Anyone behind them cannot be targeted,Этот враг - защитник! Никто за ними не может быть целью, WARNING: AUTO-TRANSLATION #####################################################
,enemyS,This enemy is a summon,Этот враг призванное существо,
,enemyHP,HP: /x / /y,HP: /x / /y,
enemies,Armadillo,Armadillo,Броненосец,
,Armadillo1,These armadillos are legendary for their defensive abilities! And their stench!,Эти броненосцы легендарны своими защитными способностями! И своей вонью!,
,Badger Boss,Badger Boss,Босс Барсук,
,Badger Boss1,The Badger Boss is a true threat!,Он настоящая угроза!,
,Badger,Badger,Барсук,
,Badger1,You never see these guys alone. So annoying!,Вы никогда не увидите их наедине. Бесит!,
,Bandit Lord,Bandit Lord,Лорд Бандитов,
,Bandit Lord1,Isn't rebelling against authority the whole point of being a bandit?,Разве весь смысл бандитов не в противостоянии знати?,
,Bat,Bat,Летучая Мышь,
,Bat1,These bats don't drink... wine...,Эти летучии мыши не пьют... вино...,
,Blademaster,Blade Master,Мастер Клинка,
,Blademaster1,"""You seem a decent fellow, I hate to kill you""","""Ты кажешься славными малым, будет жаль тебя убивать""",
,Bearded Dragon,Bearded Dragon,Бородатый Дракон,
,Bearded Dragon1,Karate practice is a way of life,Карате - его стиль жизни,
,Blue Snail,Blue Snail,Голубая Улитка, WARNING: AUTO-TRANSLATION #####################################################
,Blue Snail1,Blueberry flavor! Mmm!,Вкус черники! М-м-м!, WARNING: AUTO-TRANSLATION #####################################################
,Crossbowman,Crossbowman,Арбалетчик,
,Crossbowman1,Hares - Nimbler than Badgers and stronger than Rabbits. They are ideal crossbowmen in the King's army,Зайцы - ловчее Барсуков и сильнее Кроликов. Идеальные арбалетчики армии Короля.,
,Crow Bandit,Crow Bandit,Ворон-Бандит,
,Crow Bandit1,They'll take your stuff and fly off,Они отберут твои блестяшки и улетят,
,Cultist Blade,Cultist Blade,Клинок Культа,
,Cultist Blade1,From his hand a gold chain dangles - an idol of his leader,Златая цепь свисающая с его руки - символ его лидера,
,Cultist,Cultist,Культист,
,Cultist1,The cult is a pathway to many unnatural abilities,Культ - путь ко многим необычным способностям,
,Elder Mage,Elder Mage,Древний Маг,
,Elder Mage1,From his hand a gold chain dangles - an idol of his leader,Златая цепь свисающая с его руки - символ его лидера,
,Ferret King,Ferret King,Король Хорьков,
,Ferret King1,He'd be kind of cute if he wasn't such a violent person,"Он был бы милашкой, если бы не был таким садистом",
,Fire Gecko,Fire Gecko,Огненный Геккон,
,Fire Gecko1,"Years of training, but no match for a magical backpack","Годы тренировок, но они не соперники магическому рюкзаку",
,Frog Wizard,Frog Wizard,Лягушачий Колдун,
,Frog Wizard1,Frogs know about a deep magic that appears on rare Wednesdays,"Лягушки знают о глубокой магии, что появляется по средам..",
,Gerbil Ruffian,Gerbil Ruffian,Песчанка Хулиган,
,Gerbil Ruffian1,Rumor has it that Gerbils used to be pets before the founding of Orderia. These overgrown monsters make you doubt it.,"Согласно слухам, Песчанки были домашними животными до основания Ордерии. Эти монстры-перероски заставляют усомниться в этом.",
,Glory Knight,Glory Knight,Рыцарь Славы,
,Glory Knight1,Courageous heroes who have lost their way,"Отважные герои, сбившиеся с пути",
,Grandmaster,Grandmaster,Грандмастер,
,Grandmaster1,The fires of this place will turn you to ashes,Огни этого места испепелят вас!,
,Hawk Knight,Hawk Knight,Ястреб-Рыцарь,
,Hawk Knight1,Noble. Screechingly loud. Pretty annoying really,"Знать. Невыносимо громкий. Сильно раздражает, поверьте.",
,Hermit Crab,Hermit Crab,Краб-Отшельник,
,Hermit Crab1,"Sure they're crabs, but most hermits are easier to avoid","Они, конечно, крабы, но большинство отшельников лучше обходить стороной",
,Hermit Crab Mimic,Hermit Crab Mimic,Мимик краба-отшельника, WARNING: AUTO-TRANSLATION #####################################################
,Hermit Crab Mimic1,looks can be deceiving,Внешность может быть обманчива, WARNING: AUTO-TRANSLATION #####################################################
,King,King,Король,
,King1,"""All the world will be your enemy""","""Весь мир ополчится против тебя""",
,Lil Bee,Li'l Bee,Маленькая Пчелка,
,Lil Bee1,These small bees are all drones of the queen ,Все эти маленькие пчелы - глаза и уши королевы, WARNING: ENGLISH TEXT CHANGED #####################################################
,Living Shadow,Living Shadow,Живая тень,
,Living Shadow1,A dark shadow of yourself.  Doppel-get-over-it!,Твоя темная сторона. Перебори себя! Или сходи к психологу.,
,Muskrat Brigand,Muskrat Brigand,Ондатра-Оппортунист,
,Muskrat Brigand1,"Tiny, spiny, they'll kick you in your... face","Маленькие, колючие, они ударят тебя по... лицу",
,Newt,Newt,Тритон,
,Newt1,Newts stay in moist areas. It's pretty nasty really,"Тритоны проживают во влажных местах. Это очень мерзко, правда",
,Olm,Olm,Олм,
,Olm1,Is it getting hot in here?,Тут становится жарковато?,
,Pink Flower,Pink Flower,Розовый цветок,
,Pink Flower1,Beautiful but deadly,"Красивый, но смертельный",
,Porcupine,Porcupine ,Дикобраз, WARNING: ENGLISH TEXT CHANGED #####################################################
,Porcupine1,Porcupines are usually friendly creatures. Something horrible must have happened to her,Дикобразы обычно весьма дружелюбны. Скорее всего с ней случилось что-то ужасное.,
,Purple Snail,Purple Snail,Фиолетовая улитка, WARNING: AUTO-TRANSLATION #####################################################
,Purple Snail1,Grape flavor. Delicious!,Виноградный вкус. Вкуснатища!, WARNING: AUTO-TRANSLATION #####################################################
,Queen Bee,Queen Bee,Королева Пчёл,
,Queen Bee1,The queen bee commands the armies!,Королева Пчёл ведёт за собой армии!,
,Rabbit,Rabbit,Кролик,
,Rabbit1,The rabbit knows you are in its garden,"Этот кролик знает, что ты в его саду",
,Ratwolf,Ratwolf,Крысоволк,
,Ratwolf1,"The ratwolf has long patrolled these halls, killing adventurers who stray too far","Крысоволк уже давно патрулирует эти залы, убивая искателей приключений, которые забрели слишком далеко",
,Red Snail,Red Snail,Красная улитка, WARNING: AUTO-TRANSLATION #####################################################
,Red Snail1,Strawberry flavor!,Клубничный вкус!, WARNING: AUTO-TRANSLATION #####################################################
,Repxecutioner,Repxecutioner,Рептязатель,
,Repxecutioner1,These lizards are known for their legendary fighting ability,Эти ящерицы известны своей несравнимой боевой мощью,
,Rude Rooster,Rude Rooster,Грубый Петух,
,Rude Rooster1,This guy punched through his shell at 20 days old,Этот парень сам выбрался из скорлупы спустя 20 дней после кладки,
,Sable,Sable,Соболь,
,Sable1,Sables are fierce predators,Соболи - свирепые хищники,
,Sage Toad,Sage Toad,Жабий Маг,
,Sage Toad1,Wise toads are no one to be trifled with. That is all you need to know,"С мудрыми жабами шутки плохи. Это всё, о чем тебе стоит знать.",
,Salamander,Salamander,Саламандра,
,Salamander1,"Wary, powerful, dignified, really long tongue","Мудрые, сильные, величественные, обладатели очень длинных языков",
,Skink,Skink,Сцинк,
